GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,21,IT,In full-time Education,In or completed secondary education,100,"91,75","83,5","91,75","91,75","66,75","66,75",89,"75,25","91,75","79,83",75,33,"58,5","41,5",52,"83,5","93,4","66,67","66,75",76,"66,75","83,5","44,33","75,25","71,92"
Prefer not to say,12,AQ,Retired,In or completed primary education,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,"93,75",100,100,100,100,100,100,100,100,100,100
Male,21,IT,In full-time Education,In or completed higher education,50,50,"58,25","52,75","83,5","58,5","66,75","55,67",50,50,"60,96","58,25","24,75",50,"16,5","37,38","41,5",67,"55,67",50,"53,78","58,5",67,"44,33",67,"61,77"
Male,19,IT,In full-time Education,In or completed higher education,"66,75","75,25","75,25","72,42",100,"75,25",75,"55,67","58,5","66,75","72,57","83,5","58,5",50,25,"54,25","58,5","73,6","44,33","75,25","66,83","83,5","91,75","55,67",67,"74,54"
Male,24,IT,In full-time Education,In or completed higher education,"66,75","83,5","91,75","80,67","83,5","50,25","66,75",100,"75,25","58,5","71,17",75,"58,5","66,75","58,25","64,63","58,5",80,"66,67",67,"68,67","58,5","75,25","44,33","66,75","61,62"
Male,20,IT,In full-time Education,In or completed higher education,"66,75","91,75","91,75","83,42",100,"83,5",75,67,67,"66,75","76,96","75,25",33,50,25,"45,81","58,5",80,"44,67","83,25","72,28",100,"91,75","33,33","58,5","69,31"
Male,50,IT,In Employment,In or completed higher education,"75,25","75,25",67,"72,5",67,"58,5","58,5",67,67,67,"64,04",67,"58,5",67,50,"60,63",67,"60,2",67,"58,5","63,22",67,67,"55,67",67,"64,38"
Female,47,IT,In Employment,In or completed higher education,"58,25","83,5","66,75","69,5","83,5","83,5",50,"55,67","58,5",50,"63,87","75,25",50,33,"16,75","43,75",50,"39,8","66,67","41,5","48,06","41,75","41,5","33,33","58,5","43,62"
Male,20,IT,In full-time Education,In or completed higher education,"66,75","58,5","91,75","72,33",75,75,"58,25",100,"58,5","41,75","66,7",75,25,"33,25","16,5","37,44","41,5",40,"22,33","58,25","42,56",50,"83,5","22,33",50,"53,92"
Male,22,IT,In full-time Education,In or completed higher education,"83,5",100,"83,25","88,92",75,"83,5","83,25",78,67,"83,5","78,39","75,25","58,5","58,25",33,"56,25","66,75",80,"55,33","91,75","77,78","91,75","91,75","44,33",50,"66,69"
Male,18,IT,In full-time Education,In or completed higher education,"33,25",50,"58,5","47,25",67,"75,25","58,25","66,67","50,25","41,75","59,57",50,"41,75",50,25,"41,69","33,25","53,4","55,67",67,"53,83","58,5",50,"33,33",50,"46,15"
Female,19,IT,In full-time Education,In or completed higher education,"75,25","83,25","75,25","77,92","66,75","83,5","66,75","55,67","58,5",67,"66,83","75,25","33,25","33,25","66,75","52,13","24,75","60,2","44,67","83,5","53,78",50,"58,5",33,"66,75","53,85"
Male,20,IT,In full-time Education,In or completed vet education,"91,75","83,5","91,75",89,"91,75","91,75",75,100,"91,75","91,75","89,91","91,75","83,25",100,"41,5","79,13","91,75","86,8",78,"66,75","79,72",75,100,100,"66,75","87,23"
Male,21,IT,In full-time Education,In or completed secondary education,"33,25","33,25","50,25","38,92","50,25","41,75","50,25",78,67,"58,5","56,74","58,5","41,75","33,25","8,25","35,44",50,"26,4","22,33",25,37,"83,5","91,75","66,67","66,75",77
Male,18,IT,In full-time Education,In or completed vet education,"41,5","75,25","41,5","52,75","58,5",50,"16,5","44,33",67,"33,25","44,96","41,5","16,5","33,25",25,"29,06","41,5","46,8","55,67","58,5","50,06","41,75",50,"33,33","58,5","46,23"
Male,21,IT,In Employment,In or completed higher education,75,100,"91,75","88,92","91,75","91,75",75,"55,33",100,"91,75","85,52","75,25",50,75,"8,25","52,13","58,25","73,4",89,75,"74,11","75,25",67,"44,33",75,"64,23"
Male,19,IT,In full-time Education,In or completed higher education,"83,25","91,75",75,"83,33","83,5","66,75","41,75","44,67","91,75",50,"63,87",50,"33,25",50,"16,5","37,44","50,25","73,4","44,67","83,5","68,67","91,75","91,75","33,33","66,75","69,31"
Female,21,IT,In full-time Education,In or completed higher education,"66,75","91,75","83,5","80,67","91,75","66,75","83,25",78,"83,5",75,"79,78","83,5","58,25","66,75","41,5","62,5",75,"73,4","55,67","58,25","70,39",100,"83,5","44,33","83,5",77
Female,24,IT,In full-time Education,In or completed higher education,"24,75","58,25","66,75","49,92",75,50,75,"55,67","91,75","58,25","68,13","66,5","16,75",50,0,"33,31","41,75","53,2","55,67",75,"57,44",50,"49,75","33,33","33,25","38,31"
Female,21,IT,In full-time Education,In or completed higher education,"58,5","75,25","75,25","69,67","83,5","75,25",75,78,"66,75","58,5","72,61","75,25","58,5","41,75","41,5","54,25",67,"53,4","44,67",75,"64,94",100,"91,75","55,67","75,25","79,62"
Male,22,IT,In full-time Education,In or completed vet education,"41,5",50,"33,25","41,58","41,5","41,5","16,5","33,33",50,25,"34,7","41,5","8,25","16,5","8,25","18,63",25,33,22,"41,5","31,28","41,5","41,5","44,33",50,"46,08"
Male,20,IT,In full-time Education,In or completed higher education,"75,25","83,5","91,75","83,5",100,"83,5",75,78,67,67,"78,43","83,5","66,75","41,5",50,"60,44","66,75","93,4",89,"83,5","83,44","91,75","83,5","55,67","91,75","82,15"
Male,21,IT,In full-time Education,In or completed higher education,"91,75","83,5","91,75",89,75,"75,25",75,89,"66,75","66,75",74,50,"24,75",25,"41,75","35,38","58,5","33,4","55,67","58,5",52,"66,75",67,"33,33",67,"59,15"
Male,22,IT,In full-time Education,In or completed vet education,50,"75,25","75,25","66,83",50,"75,25","58,5",33,67,"41,5","55,13","75,25","41,5","41,75","33,25","47,94","41,5","60,2","33,33","58,5","51,94",67,"58,5","55,67",67,"61,77"
Male,19,IT,In full-time Education,In or completed higher education,"58,25","66,75",75,"66,67","83,5",67,50,"55,67",67,"41,75","61,04","75,25",50,"41,75","8,25","43,81",33,"53,4","33,33",50,"46,28","58,5",67,22,"58,5","51,38"
Male,31,IT,In full-time Education,In or completed vet education,"58,25","66,75","83,5","69,5","66,75","58,25","58,25","22,33","58,5","41,75","52,22","41,75","16,5","33,25","24,75","29,06","33,5","60,2","55,67","58,5","50,11","33,25","58,5","33,33","58,5","48,85"
Male,30,IT,In full-time Education,In or completed higher education,67,"75,25","66,75","69,67","66,75","58,5","58,5",67,"75,25","58,5","63,96",67,50,"58,5","83,5","64,75","75,25","66,8","66,67",67,"70,56","75,25",67,"55,67",67,"64,38"
Male,21,IT,In Employment,In or completed vet education,"75,25","83,5",100,"86,25","91,75","83,25",75,67,100,75,"82,65","83,5","58,5","83,5",75,"75,13","91,75","93,4",100,100,"96,33",100,100,100,100,100
Male,20,IT,In full-time Education,In or completed secondary education,67,67,"58,5","64,17",67,"58,5","58,5",67,67,"58,5","62,57",67,"58,5","58,5","33,25","54,31","58,5","53,4","55,67",67,"59,44",67,67,"55,67","58,5","61,77"
Male,20,IT,In full-time Education,In or completed vet education,"58,5","83,5",100,"80,67",50,75,50,78,"75,25","41,75","60,96","66,5","33,25","41,5","41,75","45,75","16,75","53,4","44,33","41,75","42,61","58,25",50,"33,33","58,5","48,77"
Female,19,IT,In full-time Education,In or completed higher education,"66,75","83,5",75,"75,08","58,5","66,75","66,75","66,67","66,75","58,5","63,87","83,5","91,75","24,75","16,5","54,13","33,25","53,4","44,33","16,5","42,56","66,75","83,5","66,67",75,"71,85"
Female,48,IT,In Employment,In or completed higher education,33,50,"58,5","47,17","33,25",50,"58,5","44,33","41,5",25,42,"41,5","24,75","24,75",0,"22,75","24,75",33,"44,33","41,5","34,94",33,"41,5",0,"41,5","30,62"
Male,20,IT,In full-time Education,In or completed higher education,"58,5","58,5","41,5","52,83","58,25","75,25","33,25","55,67",33,50,"50,7","83,5","41,5","24,75",33,"45,69","33,25",60,"55,33","58,5","53,67","58,25",67,"44,33","75,25","61,69"
Male,21,IT,In full-time Education,In or completed higher education,"91,75","83,5",100,"91,75","91,75","66,75","83,5",67,75,50,"72,57",75,33,"33,25",50,"47,81","66,75","60,2","33,33","41,5","53,78",67,"58,5","44,33","41,75","51,38"
Male,19,IT,In Employment,In or completed secondary education,"66,5","58,5",50,"58,33","58,5","66,5","83,5",67,50,"58,5","63,87",67,"58,5",50,33,"52,13","41,5","53,4","55,67","41,75","50,06","75,25","66,75",22,67,"59,08"
Female,19,IT,In full-time Education,In or completed higher education,"58,5","83,5","83,5","75,17","66,75","33,25","33,25","55,67","83,5",50,"53,65",75,"50,25","41,75",25,48,"41,75","53,4","55,67",50,"53,78","66,75",50,"44,33",50,"48,69"
Female,19,IT,In full-time Education,In or completed higher education,"83,5","91,75","83,5","86,25",100,75,50,100,"91,75","66,75","79,74",75,"91,75","49,75","41,5","64,5","66,75","80,2","66,67","58,5","70,5",75,75,"55,33",50,"61,46"
Female,22,IT,In full-time Education,In or completed higher education,"58,5",100,"75,25","77,92",50,"41,75","41,75",67,"58,5","66,75","53,74","66,75","33,25",25,67,48,"33,25","53,4","44,33",50,50,"66,75",67,"55,67",67,"61,77"
Female,30,IT,Self-employed,In or completed higher education,"75,25","83,5","91,75","83,5","83,5","66,75",75,89,67,"66,75","74,04","91,75","91,75","58,25","24,75","66,63","75,25","66,8","55,67","66,75","64,94",50,50,33,"41,75","43,54"
Male,21,IT,In full-time Education,In or completed higher education,67,"75,25",67,"69,75",67,"58,5","50,25",67,67,67,"62,61","58,5",50,67,"41,5","54,25","58,5","53,4","55,67",50,"55,67","58,5",67,"33,33","41,75","48,85"
Male,20,IT,In full-time Education,In or completed higher education,"58,25","66,75",50,"58,33",75,"41,5",50,"55,67","75,25","33,25","55,09",50,33,"58,5",25,"41,63","58,5","60,2",78,"66,75",65,"58,5","75,25","33,33",67,"59,15"
Female,21,IT,In full-time Education,In or completed secondary education,"66,5","75,25","58,5","66,75",50,"41,75","50,25","44,33",67,"41,75","49,39","58,5","41,75","41,75","8,25","37,56",50,"60,2","55,67","58,5","55,67",50,67,11,"41,75","43,69"
Female,21,IT,Unemployed,In or completed higher education,"58,25","83,5","58,25","66,67","66,5","83,5",75,67,100,50,"73,96","58,5","24,75","33,5","24,75","35,38","33,25","46,8","44,67",50,"46,39","50,25",50,"22,33",50,"41,08"
Male,18,IT,In full-time Education,In or completed higher education,75,67,"91,75","77,92","91,75",75,"58,5",89,67,"83,25","76,91","83,5","75,25",75,"75,25","77,25",100,"86,8","55,67","91,75","87,11","91,75","83,5",67,"91,75","82,23"
Male,22,IT,In full-time Education,In or completed higher education,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"98,17","91,75",100,100,"83,25","94,85"
Male,19,IT,In full-time Education,In or completed higher education,"75,25",75,"83,5","77,92","75,25","66,75","58,5",67,67,"75,25","68,35","75,25","75,25",67,"75,25","73,19","75,25","73,6",78,"58,5","72,44","75,25","75,25","66,67",67,"69,46"
Male,23,IT,In full-time Education,In or completed higher education,67,67,"83,5","72,5","75,25","66,75","58,5",67,"58,5","58,5","63,96","58,25","33,25","58,5","8,25","39,56",50,"60,2","55,67",50,"53,78","58,5",67,"22,33",50,"51,46"
Male,19,IT,In full-time Education,In or completed vet education,"66,75","58,5","75,25","66,83","58,5","33,5","24,75",67,50,"41,75",45,"58,5","41,5","41,5","16,5","39,5","58,5","53,6","44,67",50,"50,11","41,5",67,"33,33",50,"51,38"
Male,20,IT,In full-time Education,In or completed secondary education,"41,5","83,5","83,5","69,5","41,5","58,25",75,"44,33","91,75","58,5","62,3","58,5","33,25","33,25","8,25","33,31","58,5","66,8","77,67","58,5","66,78","75,25",75,"22,33",50,"53,92"
Male,20,IT,In full-time Education,In or completed vet education,"66,75","83,5","91,75","80,67","83,5","66,75","41,5",89,"75,25",75,"71,09",75,"66,75","66,5","16,5","56,19","83,25","86,8","44,33",75,"75,94","91,75","83,5","55,67","75,25","77,08"
Female,20,IT,In full-time Education,In or completed vet education,"41,75","66,75","58,5","55,67","83,5",67,50,"55,67","75,25","58,25","65,35","66,75",33,"58,25",33,"47,75",50,"46,6","33,33",67,"51,94","58,5","58,5","44,33","41,5","48,69"
Male,24,IT,In full-time Education,In or completed higher education,67,100,"91,75","86,25",100,100,100,89,100,100,"98,57","91,75",75,"91,75",33,"72,88","66,5","73,6",67,67,"70,56","75,25","66,75","33,33","58,5","56,54"
Male,21,IT,In full-time Education,In or completed higher education,"58,5",67,67,"64,17",67,"58,5","58,5",67,67,"58,5","62,57",67,50,"58,5",33,"52,13","58,5","60,2","55,67","58,5","59,44","58,5",67,"44,33",67,"59,15"
Male,20,IT,In full-time Education,In or completed higher education,100,100,100,100,"83,5","83,5",75,100,50,"66,75","75,43","91,75","75,25","66,75",100,"83,44","83,5","80,2",89,"75,25","83,5",100,"91,75",78,"75,25","84,77"
Female,21,IT,In full-time Education,In or completed secondary education,"91,75","75,25","83,5","83,5","83,5","75,25","83,5",89,"58,5",50,"72,61","66,75",50,50,75,"60,44","58,5","53,4","55,67",50,"53,78","58,5",67,"44,33",67,"61,77"
Male,20,IT,In Employment,In or completed secondary education,50,67,50,"55,67","66,5","66,75",75,"44,33",67,"49,75","62,3","58,5","33,25","50,25",0,"35,5","41,5","60,2",67,"58,5","55,67","58,5","75,25",33,"58,25",59
Female,33,IT,Self-employed,In or completed secondary education,75,67,"91,75","77,92","75,25","58,5",75,67,67,"41,75","63,96","58,5","41,5","83,5","16,5",50,"41,5",40,11,"33,25","35,11","58,25",50,22,"16,5","35,77"
Female,46,IT,In Employment,In or completed higher education,"8,25","16,75","91,75","38,92","83,5","33,5","66,75","33,33","8,25","8,25","39,17",50,"16,75","33,25",25,"31,25","33,25","66,8","33,33","58,5","53,78","66,75","75,25",11,75,"56,46"
Male,19,IT,In full-time Education,In or completed vet education,50,67,"58,5","58,5","58,25","58,5","58,5",67,67,50,"59,57","75,25",50,"58,5","24,75","52,13",50,67,"55,67",67,"61,33",67,"58,5","44,33","58,5","56,54"
Male,22,IT,In full-time Education,In or completed higher education,"58,5","66,75","58,5","61,25","58,5","58,5","50,25","44,33","58,5","41,75","52,3","58,5",50,"41,5","58,5","52,13","58,5","53,4","44,33",67,"57,56","58,5",67,"33,33","58,5",54
Male,22,IT,In full-time Education,In or completed vet education,"83,5","75,25","91,75","83,5","91,75","75,25","58,25","44,33","58,5","66,75","66,74","66,75","41,5","24,75","49,75","45,69",75,"80,2","44,67","58,25","68,61","66,75",67,"33,33","66,75","56,54"
Male,22,IT,In full-time Education,In or completed vet education,"58,5","75,25","58,5","64,08","75,25","66,75","58,5",78,"75,25",50,"66,83","83,5",67,"83,25","33,25","66,75","66,75","66,8","44,33",67,"63,11",67,"58,5","33,33","58,5",54
Female,21,IT,Unemployed,In or completed higher education,50,"41,5","41,5","44,33","66,75",50,50,"55,67","58,25",50,"55,09","58,5",67,"58,5",33,"54,25","58,5","39,8",33,33,"40,56",33,33,33,33,33
Male,22,IT,In full-time Education,In or completed higher education,"91,75","91,75",100,"94,5","83,5","83,25","83,25",100,"66,75","66,75","79,74",100,100,100,75,"93,75",50,"46,6","55,67","75,25","57,5","75,25","83,5",67,67,"74,62"
Male,20,IT,In full-time Education,In or completed higher education,"66,75",75,100,"80,58","83,5","91,75","66,75",89,75,"83,25","81,22","83,25",75,75,"58,25","72,88","83,25","73,4","55,67","83,25","75,94",75,"83,25","44,33",75,"69,15"
Male,20,IT,In full-time Education,In or completed higher education,50,"66,75",75,"63,92","91,75","83,5","66,75","66,67","91,75","41,5","73,96","75,25","50,25","66,5","33,25","56,31",75,"73,4","66,67","75,25","72,33","58,5",100,"33,33","83,5","71,85"
Male,20,IT,In Employment,In or completed vet education,75,"75,25","83,5","77,92",100,"66,75","83,5","44,33","91,75",67,"76,91",67,"75,25",50,"58,5","62,69","58,5",67,67,"75,25","66,94","75,25",67,"66,67",75,"71,92"
Male,19,IT,In full-time Education,In or completed vet education,"66,75",67,"83,5","72,42",67,"58,5","50,25",67,"58,5","50,25","58,22",50,33,50,"41,5","43,63","41,5","60,2","55,67",50,"53,78","58,5",50,"44,33",50,"48,69"
Male,46,IT,In Employment,In or completed higher education,"58,5",67,"91,75","72,42","75,25","58,5","66,75",78,67,50,"65,39","66,75","24,75","41,75","24,75","39,5","41,5","46,6","55,67",67,"51,89","58,5","58,5","44,33","58,5","56,54"
Male,21,IT,In full-time Education,In or completed higher education,"83,5","91,75","75,25","83,5","83,5","83,5",75,89,67,"66,75","76,96","91,75","58,5","58,5","58,5","66,81","75,25",80,67,"75,25","76,11","66,75","75,25","44,33","83,5","66,77"
Male,20,IT,In full-time Education,In or completed vet education,"75,25","91,75","83,5","83,5","91,75","83,5","91,75","66,67","91,75","58,5","81,26","49,75","41,5",50,50,"47,81",67,"73,6",89,"91,75","81,67","91,75","83,5","66,67","66,75","74,46"
Male,21,IT,In full-time Education,In or completed higher education,"66,75","33,25",50,50,"66,5",50,"33,25","55,67",33,50,"47,74",50,"41,5","41,5","83,25","54,06","58,5","60,2","33,33","41,5","51,94",67,33,"44,33",50,"46,08"
Male,34,IT,In full-time Education,In or completed higher education,"83,25",100,"83,5","88,92","91,75",75,"83,25",78,100,75,"84,09","91,75",50,"83,25","83,25","77,06","91,75","93,4",89,"91,75","92,67",100,100,"55,33","83,5","84,62"
Male,19,IT,In full-time Education,In or completed higher education,67,"58,25","83,5","69,58",75,67,"58,5","55,67","58,5","58,5","62,48",67,"58,5","58,5","24,75","52,19","66,75","66,8",78,"58,5","66,83","58,5",67,"44,33","58,5","56,54"
Male,20,IT,In full-time Education,In or completed higher education,"66,75","83,5","83,5","77,92","66,75","83,5",75,78,75,"83,5","76,91","83,5","83,5",67,"66,75","75,19","91,75","80,2",67,"75,25","79,83","83,5","83,5",89,"83,5","84,77"
Male,19,IT,In full-time Education,In or completed higher education,"66,75","58,5","66,75",64,"58,5",25,"33,25","44,67",50,"41,5","42,04","58,5","41,75","58,5","16,5","43,81",25,"46,6",22,"16,5","33,22","58,25",50,22,50,"43,54"
Male,24,IT,In full-time Education,In or completed higher education,100,"83,5","91,75","91,75","91,75","66,75",75,89,67,75,"76,91","75,25","58,5","66,75","50,25","62,69","75,25","73,4","55,67","66,75","72,33","91,75","83,5","22,33","75,25","66,85"
Male,21,IT,In full-time Education,In or completed vet education,50,"41,5","58,5",50,50,50,"33,25","55,67","58,5","33,25","46,39",50,"16,5","16,5",25,27,"33,25","19,8",33,25,"27,61","41,5","41,5",22,"24,75","33,15"
Male,20,IT,In full-time Education,In or completed higher education,"66,75","58,5","41,75","55,67","58,25",50,"50,25","44,33","83,5","33,5","53,7","33,25","8,25","41,75",0,"20,81","33,25","53,4","33,33","66,75","50,06",67,67,"22,33",50,"51,46"
Male,19,IT,In full-time Education,In or completed higher education,"58,5","83,5","58,5","66,83","66,75","58,5",67,67,"75,25","66,75","66,87",67,"41,5",50,"41,5",50,50,67,"44,33","58,5","57,56","58,5",67,"44,33",67,"59,15"
Male,25,IT,In full-time Education,In or completed higher education,"66,75","91,75","91,75","83,42",75,75,"41,75",67,"83,5","58,25","66,74",75,50,"33,25","41,75",50,"58,5","66,8","55,67",75,"64,94","75,25",100,"44,33","83,5","79,54"
Male,19,IT,In full-time Education,In or completed higher education,33,"58,5",50,"47,17","58,25","41,5","50,25","44,33",67,"33,25","49,3",50,"41,5","41,75","24,75","39,5","41,75","53,4","55,67","58,5","53,83","58,5",50,11,50,41
